SubscriberID,FullName,Email,Region,Plan,SignupDate,RenewalDate,TenureDays,OnboardingScore,HasNegativeTicketPreRenewal,Cancelled,TotalOrders,TotalSpent,AvgOrderValue,NumSupportTickets,NumNegativeTickets,DaysBeforeRenewalLastNegativeTicket
S-10028,Lori Johns,raymondstacy@example.org,West,Monthly Essentials,2025-05-21,2026-08-21,486,59.9,False,False,17,880.35,51.79,0,0,
S-10029,Steven Sandoval,blairabigail@example.net,Northeast,Monthly Plus,2025-08-04,2026-09-13,411,62.5,True,False,14,732.28,52.31,5,2,53.0
S-10030,Lori Perez,ashleysimmons@example.com,Midwest,Monthly Essentials,2024-10-08,2026-09-06,711,67.7,True,False,22,1184.14,53.82,2,1,61.0
S-10031,Erin Daniels,denisecarpenter@example.net,West,Monthly Essentials,2025-05-21,2026-08-22,486,51.2,False,False,17,912.11,53.65,3,0,
S-10032,Shari Parker,russellstout@example.org,South,Quarterly Bundle,2025-04-17,2026-09-14,520,62.4,False,False,15,759.4,50.63,2,0,
S-10033,Krystal Moore,grantstacy@example.org,Midwest,Monthly Plus,2025-06-15,2026-08-30,461,59.0,True,False,16,782.68,48.92,4,1,56.0
S-10034,Ryan Thomas,cannonnicole@example.com,West,Quarterly Bundle,2025-08-23,2026-08-30,392,28.2,False,False,13,683.5,52.58,4,0,
S-10035,Elizabeth Reese,edwin31@example.org,Midwest,Monthly Essentials,2025-09-12,2026-09-10,372,62.5,False,False,13,734.66,56.51,2,0,
S-10036,Phillip Salazar,catherine93@example.net,Northeast,Monthly Plus,2025-04-01,2026-09-13,536,61.4,False,False,15,774.62,51.64,1,0,
S-10037,Michael Howard,manderson@example.com,West,Monthly Essentials,2025-03-27,2026-09-07,541,69.2,False,False,18,968.42,53.8,4,1,
S-10038,Jacqueline Christian,kwells@example.org,South,Monthly Plus,2025-08-16,2026-08-21,399,100.0,False,False,12,629.87,52.49,2,1,
S-10039,Jason Novak,stephanie33@example.org,South,Monthly Essentials,2025-12-29,2026-08-28,264,72.5,True,False,8,395.85,49.48,1,1,62.0
S-10040,Timothy Duke,dwatts@example.org,South,Monthly Plus,2025-07-12,2026-08-27,434,89.7,True,True,13,703.11,54.09,2,1,53.0
S-10041,Ricardo Franklin,zcortez@example.net,South,Monthly Essentials,2026-04-12,2026-09-09,160,82.2,True,False,3,163.82,54.61,3,1,60.0
S-10042,Laura Herrera,meyershannon@example.org,Midwest,Monthly Essentials,2024-12-27,2026-08-30,631,84.1,False,False,21,1110.76,52.89,5,0,
S-10043,Danielle Medina,grantzachary@example.net,West,Monthly Essentials,2025-11-14,2026-09-17,309,85.2,True,True,10,590.31,59.03,3,1,33.0
S-10044,Cheryl Gonzales,kim47@example.org,Northeast,Monthly Essentials,2024-11-25,2026-08-23,663,58.7,False,False,23,1219.77,53.03,4,1,
S-10045,Louis Brown,stevenlucas@example.org,Midwest,Monthly Essentials,2026-04-18,2026-09-19,154,70.9,False,False,6,316.56,52.76,1,0,
S-10046,Ashley Osborne,phillipmorris@example.org,Midwest,Monthly Plus,2025-10-06,2026-08-22,348,82.9,False,True,10,519.59,51.96,0,0,
S-10047,Kevin Marquez,nicoledavis@example.com,South,Monthly Plus,2024-09-30,2026-08-29,719,92.2,False,False,22,1178.21,53.56,1,0,
S-10048,Susan Hogan,davisjasmin@example.net,West,Monthly Plus,2025-01-27,2026-09-11,600,53.8,True,True,21,1046.71,49.84,5,2,85.0
S-10049,Joseph Cruz,nicholasjames@example.org,Midwest,Monthly Plus,2026-06-26,2026-08-21,85,41.5,False,False,1,46.15,46.15,2,0,
S-10050,Krystal Keller,fernandothomas@example.net,Northeast,Monthly Essentials,2025-03-28,2026-09-07,540,91.1,False,False,17,842.92,49.58,2,0,
S-10051,Eric Cross,lroberts@example.org,West,Monthly Plus,2025-07-08,2026-09-06,438,66.9,False,False,12,611.85,50.99,0,0,
S-10052,Toni Smith,alexander77@example.net,Northeast,Monthly Plus,2026-01-05,2026-09-06,257,55.8,False,False,6,339.74,56.62,1,0,
S-10053,Lisa Snyder,briannaalvarez@example.com,South,Quarterly Bundle,2025-03-21,2026-09-14,547,63.8,False,True,19,1041.82,54.83,0,0,
S-10054,Kyle Smith,christine83@example.org,South,Monthly Plus,2025-09-20,2026-09-09,364,49.0,False,False,10,512.54,51.25,2,0,
S-10055,Anthony Bailey,melissaestrada@example.net,Midwest,Monthly Essentials,2025-07-30,2026-09-07,416,80.3,False,False,14,787.0,56.21,0,0,
S-10056,Thomas Williams,kchaney@example.net,Midwest,Monthly Essentials,2026-03-27,2026-09-09,176,59.6,False,False,4,212.36,53.09,2,0,
S-10057,Matthew Graves,tammycurry@example.com,Midwest,Monthly Essentials,2025-06-24,2026-08-21,452,58.7,False,True,15,800.98,53.4,2,0,
S-10058,Anna Evans,priscilla16@example.net,Midwest,Monthly Plus,2024-09-21,2026-09-11,728,64.1,False,False,22,1183.85,53.81,5,0,
S-10059,John Martinez,mark68@example.org,Northeast,Monthly Essentials,2025-06-06,2026-09-06,470,57.6,False,False,13,676.41,52.03,2,1,
S-10060,Lisa Rodriguez,webbhaley@example.net,West,Monthly Essentials,2025-10-19,2026-08-31,335,86.8,False,False,12,634.73,52.89,0,0,
S-10061,Lee Stewart,sara99@example.com,West,Monthly Plus,2026-03-01,2026-09-03,202,75.2,False,False,7,387.64,55.38,1,0,
S-10062,Lynn Vasquez,nicolehall@example.com,Midwest,Monthly Essentials,2025-03-04,2026-09-04,564,69.9,False,False,17,849.4,49.96,0,0,
S-10063,April Johnson,mclaughlinjared@example.net,South,Monthly Essentials,2026-08-01,2026-08-26,49,100.0,True,False,1,58.68,58.68,1,1,48.0
S-10064,Mrs. Felicia Castro DDS,davidsonhannah@example.com,Northeast,Monthly Essentials,2024-11-22,2026-08-28,666,68.3,False,False,20,1077.18,53.86,2,0,
S-10065,Elizabeth Hunter,katie15@example.com,Midwest,Quarterly Bundle,2025-02-13,2026-09-12,583,75.3,False,False,19,963.94,50.73,3,0,
S-10066,Keith Choi,jamesbass@example.net,Midwest,Monthly Essentials,2025-02-09,2026-09-19,587,64.1,True,True,20,1047.75,52.39,2,1,40.0
S-10067,John Johnson,timothyburton@example.net,Midwest,Monthly Plus,2026-01-24,2026-09-04,238,73.2,False,False,7,362.53,51.79,2,1,39.0
S-10068,Julia Olsen,conleykevin@example.net,Midwest,Monthly Essentials,2026-08-18,2026-09-17,32,72.2,False,False,2,99.13,49.56,0,0,
S-10069,Kristen Smith,lauren51@example.org,Northeast,Monthly Essentials,2025-03-25,2026-08-26,543,63.2,False,False,19,972.81,51.2,3,0,
S-10070,Andre Terrell,ashleyprice@example.net,Midwest,Monthly Essentials,2025-01-04,2026-09-16,623,81.2,False,False,19,1003.76,52.83,3,1,
S-10071,Richard Parker,jennifer46@example.org,Northeast,Monthly Plus,2026-01-10,2026-08-29,252,100.0,True,True,8,387.93,48.49,1,1,5.0
S-10072,David Hayes DVM,aliciathompson@example.com,Midwest,Monthly Essentials,2026-03-02,2026-09-04,201,54.3,True,True,7,393.26,56.18,1,1,66.0
S-10073,Paula Gentry,zhunter@example.com,Northeast,Quarterly Bundle,2026-04-27,2026-09-14,145,59.4,False,False,2,94.99,47.5,3,0,
S-10074,Brittany Peterson,hoconnor@example.com,West,Monthly Plus,2026-05-12,2026-08-29,130,51.0,False,False,2,108.58,54.29,1,0,
S-10075,Briana Wiggins,jamiejohnson@example.com,Northeast,Monthly Plus,2026-08-13,2026-08-28,37,84.0,True,False,2,104.55,52.28,1,1,30.0
S-10076,Kelly Smith,mcdanielbrooke@example.org,South,Monthly Plus,2026-05-31,2026-09-05,111,94.8,False,False,1,43.25,43.25,1,0,
S-10077,Stephen Garcia,andrew43@example.com,Midwest,Monthly Essentials,2025-10-23,2026-08-23,331,47.7,False,False,11,565.03,51.37,0,0,
S-10078,Dustin Patel,rlambert@example.org,Northeast,Monthly Essentials,2025-03-16,2026-08-21,552,83.2,False,False,18,925.2,51.4,1,0,
S-10079,Brian Mullen,clarkmichael@example.com,West,Quarterly Bundle,2025-06-01,2026-08-31,475,76.5,True,True,14,766.36,54.74,1,1,17.0
S-10080,Tony Brock,georgecollins@example.com,West,Monthly Essentials,2025-02-01,2026-09-05,595,100.0,True,False,17,889.4,52.32,3,2,14.0
S-10081,Amber Johnson,rodriguezbrian@example.com,Northeast,Quarterly Bundle,2026-06-27,2026-09-18,84,62.0,False,False,3,170.29,56.76,0,0,
S-10082,Michael Vance,tjensen@example.com,Northeast,Monthly Essentials,2026-01-26,2026-09-10,236,72.5,False,False,6,331.38,55.23,0,0,
S-10083,Michelle Lambert,beltrankatelyn@example.com,Midwest,Monthly Essentials,2026-08-08,2026-09-19,42,78.5,False,False,1,62.61,62.61,0,0,
S-10084,Anna Lang,tdavis@example.net,South,Monthly Essentials,2025-02-07,2026-09-12,589,59.9,True,True,19,1036.52,54.55,3,1,46.0
S-10085,Pamela Ruiz,douglashuang@example.com,Midwest,Monthly Essentials,2026-07-08,2026-08-22,73,73.2,True,False,3,164.56,54.85,1,1,43.0
S-10086,Jenna Lyons,kristina57@example.com,Midwest,Monthly Essentials,2025-01-20,2026-09-08,607,80.4,False,False,21,1021.89,48.66,3,0,
S-10087,John Bell,ssingleton@example.com,Northeast,Monthly Essentials,2025-04-02,2026-08-29,535,63.0,True,False,18,916.0,50.89,3,1,57.0
S-10088,Bethany Garcia,nguyendebra@example.com,West,Monthly Plus,2026-04-27,2026-08-25,145,69.1,False,False,3,143.81,47.94,1,0,
S-10089,Jennifer Gutierrez,amydickson@example.com,Northeast,Monthly Essentials,2024-12-16,2026-09-19,642,51.5,True,False,21,1048.26,49.92,7,2,61.0
S-10090,Daniel Benson,bmueller@example.net,West,Monthly Essentials,2025-12-01,2026-08-26,292,81.0,True,False,10,476.65,47.66,2,1,20.0
S-10091,Kimberly Young,stevensonjennifer@example.com,South,Monthly Essentials,2025-10-18,2026-09-17,336,71.1,False,False,9,483.76,53.75,0,0,
S-10092,Kyle Nguyen,shortgregory@example.com,Midwest,Monthly Essentials,2025-11-04,2026-08-29,319,39.0,True,True,11,590.24,53.66,2,1,6.0
S-10093,Brian Cervantes,pmurphy@example.net,South,Monthly Essentials,2025-09-04,2026-09-19,380,65.7,False,False,13,692.26,53.25,4,0,
S-10094,Daniel Taylor,shermandonna@example.com,West,Quarterly Bundle,2025-09-27,2026-09-14,357,57.6,False,False,9,474.02,52.67,5,0,
S-10095,Jean Lane,jamierich@example.com,West,Monthly Essentials,2025-12-07,2026-09-06,286,74.3,False,True,7,331.43,47.35,2,0,
S-10096,Susan Torres,wrobbins@example.org,Northeast,Monthly Plus,2024-10-19,2026-08-27,700,49.3,True,False,24,1231.64,51.32,5,1,9.0
S-10097,Lisa Dixon,melissabrown@example.net,South,Monthly Essentials,2025-09-07,2026-08-21,377,86.5,False,False,11,603.55,54.87,0,0,
S-10098,April Castro,daniel40@example.org,West,Monthly Essentials,2026-05-26,2026-09-04,116,37.8,False,False,2,101.42,50.71,0,0,
S-10099,Kevin Garrett,bsullivan@example.net,Northeast,Monthly Essentials,2026-04-02,2026-09-02,170,30.5,True,False,6,326.92,54.49,2,1,44.0
S-10100,Christopher Taylor,xbridges@example.com,Northeast,Monthly Essentials,2025-12-22,2026-09-15,271,88.5,True,True,7,383.32,54.76,4,3,54.0
S-10101,Zachary Santiago,alexanderwong@example.org,West,Monthly Essentials,2025-06-09,2026-08-22,467,98.2,True,True,16,789.59,49.35,3,1,53.0
S-10102,Katelyn Kim,christophermay@example.com,Northeast,Monthly Essentials,2024-11-26,2026-08-31,662,85.1,True,True,20,1092.51,54.63,9,1,73.0
S-10103,Stephanie Dominguez,dhanson@example.net,South,Quarterly Bundle,2025-04-27,2026-08-30,510,74.0,False,False,17,876.65,51.57,3,3,86.0
S-10104,Robert Cruz,jacobjacobs@example.net,Northeast,Monthly Plus,2026-06-02,2026-08-27,109,67.7,True,False,3,174.34,58.11,1,1,41.0
S-10105,Dr. Michael Adams DVM,arthur09@example.com,West,Quarterly Bundle,2025-05-27,2026-09-01,480,86.6,False,False,17,871.34,51.26,1,1,
S-10106,Ashley Olson,thomasjessica@example.com,South,Monthly Plus,2026-05-21,2026-09-14,121,45.0,False,True,5,254.7,50.94,0,0,
S-10107,Blake Wu,sanchezcrystal@example.net,Northeast,Quarterly Bundle,2024-11-09,2026-09-10,679,78.5,False,False,23,1174.52,51.07,3,0,
S-10108,Angela Schultz,chloe58@example.org,Northeast,Quarterly Bundle,2024-10-16,2026-09-03,703,94.4,True,False,24,1268.85,52.87,1,1,66.0
S-10109,Jose Harrison,robert44@example.org,West,Monthly Essentials,2025-09-11,2026-08-28,373,87.7,False,False,10,567.42,56.74,2,0,
S-10110,Thomas Curry,bryan79@example.org,Midwest,Monthly Essentials,2026-06-09,2026-09-01,102,66.5,False,False,1,46.72,46.72,0,0,
S-10111,Mary Carter,mitchellchristopher@example.net,West,Monthly Essentials,2025-01-16,2026-09-15,611,72.6,False,False,18,1003.34,55.74,3,0,
S-10112,Richard King,joshua40@example.net,Northeast,Monthly Essentials,2025-04-13,2026-08-23,524,77.0,False,True,15,706.22,47.08,0,0,
S-10113,Christopher Vargas,donnawood@example.org,Midwest,Monthly Essentials,2025-08-27,2026-09-12,388,80.0,False,False,13,724.58,55.74,3,1,
S-10114,Michael Washington,cooperchristopher@example.org,Midwest,Monthly Essentials,2025-09-24,2026-08-23,360,92.2,True,False,10,502.85,50.28,3,2,1.0
S-10115,Samantha Monroe,ptownsend@example.net,West,Monthly Plus,2026-02-15,2026-09-02,216,57.3,True,True,8,464.63,58.08,2,1,48.0
S-10116,Mark Clark,brian41@example.org,West,Quarterly Bundle,2025-03-24,2026-09-04,544,43.1,True,True,19,1000.42,52.65,2,1,63.0
S-10117,James Turner,noahthornton@example.com,West,Quarterly Bundle,2024-11-15,2026-08-27,673,44.9,False,False,23,1235.87,53.73,0,0,
S-10118,Joseph Graham,sara76@example.net,Northeast,Quarterly Bundle,2026-03-06,2026-08-28,197,52.1,False,False,5,263.6,52.72,3,0,
S-10119,Joseph Blanchard,hardindana@example.com,South,Monthly Plus,2025-06-13,2026-09-13,463,54.7,False,False,13,659.7,50.75,1,0,
S-10120,Marissa Nelson,joseph14@example.net,West,Monthly Essentials,2025-11-01,2026-09-11,322,55.2,True,False,10,456.34,45.63,2,1,4.0
S-10121,Julia Leonard,jessicachapman@example.org,Midwest,Monthly Plus,2024-09-26,2026-09-08,723,64.4,True,False,22,1029.44,46.79,7,3,39.0
S-10122,Megan Kaiser,amy01@example.org,West,Monthly Essentials,2025-01-31,2026-09-06,596,90.1,False,False,20,961.2,48.06,2,0,
S-10123,Joseph Jennings,jeffrey44@example.org,South,Quarterly Bundle,2026-01-01,2026-08-24,261,66.3,True,False,6,274.9,45.82,2,1,17.0
S-10124,Manuel Brown,stephanielittle@example.net,Northeast,Monthly Essentials,2024-11-13,2026-09-14,675,74.9,True,True,23,1238.77,53.86,2,1,37.0
S-10125,Angelica Jacobs,pdouglas@example.net,Northeast,Monthly Essentials,2025-11-25,2026-08-28,298,83.4,False,False,9,512.73,56.97,0,0,
S-10126,Cathy Rodriguez,jonowens@example.org,South,Monthly Essentials,2025-12-02,2026-08-22,291,78.7,False,False,10,576.95,57.7,2,0,
S-10127,Tammy Hill,qschwartz@example.com,Midwest,Monthly Essentials,2025-02-26,2026-09-02,570,61.1,False,False,17,859.32,50.55,1,0,
S-10128,Richard Ramirez,reyesmarvin@example.org,South,Monthly Plus,2025-11-03,2026-09-11,320,99.1,True,False,11,578.47,52.59,2,2,11.0
S-10129,Robert Thompson,vasquezsarah@example.net,South,Quarterly Bundle,2025-10-11,2026-09-13,343,96.4,True,True,12,630.19,52.52,2,1,31.0
S-10130,Matthew Rodriguez,probinson@example.org,South,Monthly Essentials,2026-05-05,2026-09-05,137,51.3,False,False,2,105.07,52.54,1,0,
S-10131,Michelle Garcia,jonesjessica@example.com,South,Monthly Essentials,2026-05-30,2026-08-30,112,61.5,False,False,4,202.34,50.58,0,0,
S-10132,Jonathan Delgado,fitzpatrickelizabeth@example.com,Northeast,Quarterly Bundle,2025-10-17,2026-09-07,337,92.5,True,True,12,610.72,50.89,3,3,50.0
S-10133,Gary Myers,robertsonshelby@example.com,Midwest,Quarterly Bundle,2025-06-29,2026-09-11,447,81.4,False,False,13,640.59,49.28,2,1,
S-10134,Jared Luna,fernandezaaron@example.net,West,Monthly Essentials,2025-10-29,2026-09-14,325,58.7,False,False,10,484.96,48.5,0,0,
S-10135,Karen Bradley,mathew46@example.org,West,Monthly Essentials,2024-11-22,2026-08-31,666,74.4,False,False,21,1112.23,52.96,1,0,
S-10136,Tina Davis,christopher74@example.net,Northeast,Monthly Essentials,2026-04-21,2026-09-08,151,66.3,True,True,4,197.59,49.4,3,1,70.0
S-10137,Julian Ponce,kentprice@example.org,Midwest,Quarterly Bundle,2024-10-23,2026-09-17,696,78.3,False,False,22,1128.64,51.3,5,0,
S-10138,Heather Miller,imoss@example.org,Midwest,Monthly Essentials,2025-01-15,2026-09-14,612,100.0,False,False,21,1066.81,50.8,3,1,
S-10139,Nathan Watkins,yprice@example.net,Northeast,Monthly Essentials,2025-11-27,2026-09-09,296,61.4,False,False,7,323.57,46.22,0,0,
S-10140,Kathryn Hanna,blevy@example.org,South,Quarterly Bundle,2026-03-30,2026-09-11,173,71.5,False,False,4,225.45,56.36,0,0,
S-10141,George Le,zwilson@example.net,Northeast,Quarterly Bundle,2025-07-23,2026-09-14,423,90.5,False,False,13,652.39,50.18,0,0,
S-10142,Judy Gregory,joycehall@example.org,West,Monthly Essentials,2025-11-18,2026-08-30,305,69.3,False,False,11,584.91,53.17,1,0,
S-10143,Charles Valdez,nmeadows@example.org,West,Monthly Essentials,2025-07-30,2026-08-25,416,52.1,False,False,14,709.51,50.68,2,1,
S-10144,Matthew Smith,conwaylori@example.org,Midwest,Monthly Plus,2025-10-08,2026-08-31,346,76.2,True,False,12,623.42,51.95,3,1,50.0
S-10145,Christopher Garza,wilsonbrooke@example.net,Northeast,Monthly Essentials,2024-11-15,2026-09-18,673,49.1,False,False,22,1143.09,51.96,6,2,78.0
S-10146,Robert Simmons,rnguyen@example.net,Northeast,Monthly Essentials,2025-11-21,2026-09-05,302,82.8,True,True,8,403.64,50.46,4,1,43.0
S-10147,Erica Oconnell,kathrynwatkins@example.com,Northeast,Quarterly Bundle,2026-02-06,2026-09-17,225,60.8,False,False,6,287.16,47.86,1,1,
S-10148,Donald Todd,heathertran@example.com,Midwest,Monthly Plus,2026-02-10,2026-08-21,221,78.4,False,False,5,251.11,50.22,0,0,
S-10149,Kevin Anderson,bstrickland@example.com,Northeast,Quarterly Bundle,2025-03-15,2026-09-12,553,49.2,False,True,18,951.69,52.87,5,0,
S-10150,Adam Howe,robert72@example.org,South,Monthly Essentials,2025-07-16,2026-08-22,430,89.5,True,True,15,798.09,53.21,4,1,54.0
S-10151,Devin Cole,sharonbishop@example.org,West,Monthly Essentials,2025-07-27,2026-08-31,419,74.6,False,False,11,609.42,55.4,2,0,
S-10152,Michelle Salazar,burtonkimberly@example.com,Northeast,Monthly Essentials,2026-07-18,2026-08-21,63,67.5,True,True,2,115.3,57.65,2,1,6.0
S-10153,Justin Lee,montgomerymichelle@example.net,West,Monthly Essentials,2026-08-06,2026-08-30,44,84.0,False,False,2,94.0,47.0,0,0,
S-10154,Julie Sims,joshualee@example.org,South,Monthly Plus,2025-02-20,2026-08-21,576,83.6,False,False,20,1013.83,50.69,5,0,
S-10155,Tracy Wells,ernestlivingston@example.org,South,Monthly Essentials,2024-12-15,2026-08-28,643,94.6,False,False,20,1040.94,52.05,5,1,
S-10156,Dominique Hamilton,christina70@example.org,West,Monthly Plus,2025-04-26,2026-08-28,511,61.5,False,False,17,899.0,52.88,1,0,
S-10157,Tammy Thompson,washingtondarren@example.org,West,Monthly Plus,2025-09-06,2026-09-09,378,63.0,False,False,13,605.2,46.55,3,2,11.0
S-10158,Leslie Nguyen,julievillanueva@example.org,West,Monthly Essentials,2025-02-19,2026-08-23,577,85.5,False,False,19,999.99,52.63,1,0,
S-10159,Erika Garcia,ykane@example.org,South,Monthly Plus,2026-07-10,2026-09-08,71,71.5,False,False,3,148.03,49.34,1,0,
S-10160,Kevin Brown,nthomas@example.com,Midwest,Monthly Plus,2025-09-30,2026-09-19,354,86.2,False,False,11,570.3,51.85,0,0,
S-10161,James Ellis,crystalcantrell@example.org,South,Monthly Plus,2026-07-25,2026-08-23,56,67.5,True,False,1,44.1,44.1,1,1,78.0
S-10162,Andrew Carroll,derek77@example.com,West,Monthly Plus,2024-11-25,2026-08-30,663,81.5,False,False,23,1119.57,48.68,1,0,
S-10163,Greg Tanner,kristinelittle@example.net,West,Monthly Essentials,2024-09-27,2026-09-05,722,55.1,False,False,25,1263.96,50.56,3,2,
S-10164,Laura Tran,christophervincent@example.com,Northeast,Monthly Essentials,2026-05-29,2026-08-25,113,65.4,True,False,4,209.23,52.31,2,1,57.0
S-10165,Cindy Wells,uramirez@example.com,South,Quarterly Bundle,2025-07-28,2026-09-10,418,87.3,False,False,12,709.88,59.16,5,1,37.0
S-10166,Danielle Murphy,patriciavargas@example.org,South,Monthly Essentials,2026-04-09,2026-08-23,163,51.6,True,False,6,304.43,50.74,1,1,54.0
S-10167,Stephanie Butler,williamsthomas@example.net,South,Monthly Essentials,2025-09-25,2026-09-07,359,95.7,False,False,12,595.68,49.64,2,0,
S-10168,Joseph Mendoza,chavezjohn@example.net,South,Monthly Essentials,2025-12-13,2026-09-04,280,33.9,False,False,9,505.71,56.19,1,1,
S-10169,Melissa Russell,davidphillips@example.net,West,Quarterly Bundle,2025-08-14,2026-08-26,401,82.4,False,False,13,636.02,48.92,1,0,
S-10170,Mrs. Maureen Martin DDS,braysteven@example.org,South,Monthly Plus,2025-12-05,2026-09-02,288,70.0,False,False,10,561.64,56.16,1,0,
S-10171,Jennifer Clarke,courtney01@example.com,South,Monthly Essentials,2025-09-16,2026-08-24,368,53.9,False,False,13,736.29,56.64,0,0,
S-10172,Faith Johnson,smullins@example.net,West,Monthly Plus,2024-11-03,2026-09-18,685,75.0,True,False,22,1083.81,49.26,4,1,67.0
S-10173,Rebecca French,olivermatthew@example.org,Midwest,Monthly Plus,2024-12-25,2026-08-26,633,35.2,False,False,19,1018.58,53.61,4,0,
S-10174,Susan Cox,rodriguezmichael@example.net,Midwest,Monthly Plus,2025-06-08,2026-09-09,468,59.0,False,False,14,707.37,50.53,1,0,
S-10175,Jacob Wong,castrokim@example.org,Northeast,Monthly Plus,2025-01-20,2026-08-31,607,78.3,True,False,20,1092.37,54.62,2,1,76.0
S-10176,Mrs. Ashley Mendoza,karenhodges@example.com,Northeast,Monthly Essentials,2025-09-07,2026-09-11,377,69.4,True,False,12,617.73,51.48,4,4,29.0
S-10177,Derek Frazier,brian55@example.com,West,Monthly Plus,2026-05-28,2026-09-15,114,77.8,True,True,1,55.28,55.28,1,1,87.0
S-10178,Mr. Bryan Mckinney,shannon51@example.org,South,Monthly Essentials,2025-09-27,2026-09-12,357,97.0,False,False,11,549.36,49.94,4,1,70.0
S-10179,Judith Miller,keithfrye@example.org,South,Monthly Essentials,2025-04-14,2026-09-07,523,68.8,False,False,17,901.38,53.02,3,0,
