emp_id,full_name,department,job_role,hire_date,term_date,monthly_income,age,gender,tenure_years,environment_satisfaction,job_involvement,job_satisfaction,relationship_satisfaction,work_life_balance
E-1914,Igor Okafor,engineering,Engineering Lead,25/07/2022,N/A,7557,53,Female,4.17,2,3,3,3,3
E-1272,Julia Duarte,Eng.,Software Engineer,2005/06/18,N/A,7070,20,Male,21.27,3,2,high,3,3
E-1977,  yusuf NOVAK ,Eng.,Engineering Manager,11 Jun 2026,N/A,"6,253.00",38,Female,0.29,3,3,n/a,3,3
E-1690,Kenji Wei,Engineering ,Data Engineer,2022/04/14,N/A,6679,27,Male,4.45,3,3,3,2,3
E-2352,  james SANTOS ,Sales,Sales Development Rep,3 Oct 2023,2026-09-25,"6,013.00",44,Male,2.98,2,3,2,3,3
E-1222,Hana O'Brien,engineering,Software Engineer,04/11/2023,NULL,"7,466.00",19,Male,2.89,2,3,3,3,2
E-1064,Miguel Chen,engineering,Software Engineer,15/06/2026,2026/09/25,5852,36,Female,0.28,3,3,3,3,3
E-1934,  emma WEI ,Engineering ,Engineering Lead,27 Aug 2022,,6810,46,Female,4.08,3,3,2,3,3
E-2286,  igor HADDAD ,Sal3s,Account Executive,2017-06-11,,6741,34,Male,9.29,3,3,3,3,2
E-2286,  IGOR HADDAD ,Sal3s,Account Executive,2017-06-11,,6741,34,Male,9.29,3,3,3,3,2
E-1061,  nina HADDAD ,Eng.,Software Engineer,12/01/2013,2026/09/25,5582,29,Male,13.7,3,n/a,3,2,n/a
E-1509,  mei O'BRIEN ,engineering,QA Analyst,8 Mar 2022,,6598,40,Male,4.55,3,2,2,3,2
E-1865,Vera Silva,Engineering ,Support Engineer,2024/09/14,NULL,7375,42,Female,2.03,3,high,3,2,3
E-1893,  omar SANTOS ,Eng.,Engineering Lead,2023-10-21,N/A,-1,27,Male,2.93,3,3,3,2,3
E-1004,Miguel Rossi,Human Resources,HR Partner,16/01/2026,25/09/2026,4282,38,Male,0.69,3,2,2,3,3
E-2497,  miguel CHEN ,Sal3s,Sales Manager,14 Dec 2021,,-1,46,Female,4.78,3,3,2,high,3
E-1567,KENJI Chen,engineering,QA Analyst,14/06/2024,NULL,"7,489.00",35,Male,2.28,2,6,2,3,3
E-2351,Aisha Haddad,sales ,Sales Development Rep,2026-07-10,25 Sep 2026,5345,34,Female,0.21,2,5,2,2,3
E-1736,Maria Wei,engineering,Data Engineer,2014/09/10,N/A,"7,006.00",40,Male,12.04,0,2,3,6,3
E-2370,  zoe WEI ,Sales,Sales Development Rep,20/01/2024,2026/09/25,5490,24,Male,2.68,medium,2,2,3,3
E-2086,David Nair,Sal3s,Account Executive,24/10/2017,2026-09-25,"5,381.00",52,Female,8.92,3,high,3,3,3
E-2204,Aisha Santos,Sales,Account Executive,26/08/2024,,6444,32,Male,2.08,3,high,3,3,3
E-1962,NOAH Rossi,engineering,Engineering Manager,16/05/2020,NULL,-1,36,Male,6.36,3,3,3,2,3
E-2062,Emma Santos,Sal3s,Account Executive,14/09/2022,2026-09-25,"5,808.00",27,Female,4.03,3,3,3,3,3
E-1090,  umar ROSSI ,Eng.,Software Engineer,2020-05-20,2026/09/25,"6,762.00",50,Male,6.35,3,2,high,n/a,3
E-2290,Ivan Farah,Sal3s,Account Executive,2022-01-16,,"6,026.00",58,Female,4.69,2,3,high,3,3
E-1188,  nina IVANOV ,Eng.,Software Engineer,2022-02-03,,-1,29,Female,4.64,3,0,3,3,2
E-2046,OKAFOR O'Brien,Sales,Account Executive,2026/04/10,2026-09-25,"5,876.00",45,Male,0.46,2,3,medium,2,3
E-1343,Li Haddad,Eng.,QA Analyst,31/05/2022,2026-09-25,"6,391.00",38,Male,4.32,n/a,2,3,2,3
E-1283,Ivan Kowalski,engineering,Software Engineer,28 Jul 2013,,6865,36,Male,13.16,3,n/a,2,6,3
E-1437,  sven KOWALSKI ,engineering,QA Analyst,2020-09-10,NULL,"$6,350",41,Male,6.04,2,3,2,3,3
E-1635,Zoe Popescu,Engineering ,Data Engineer,2024-02-22,,"6,954.00",30,Male,2.59,3,3,3,3,2
E-2430,  anna WEI ,sales ,Sales Development Rep,17/10/2023,N/A,6641,24,Male,2.94,2,3,2,3,3
E-2320,Lara Lindgren,Sales,Account Executive,2017-02-18,,"5,555.00",63,Male,9.6,3,2,2,2,2
E-1301,  omar DUARTE ,Eng.,Software Engineer,2019-12-11,NULL,"7,117.00",61,Male,6.79,3,3,5,3,5
E-2060,NOAH Ivanov,sales ,Account Executive,07/02/2024,25/09/2026,"5,447.00",31,Male,2.63,2,3,3,3,3
E-1879,  lucas LINDGREN ,Engineering ,Engineering Lead,16 Jan 2020,,6355,43,Female,6.69,3,3,3,3,3
E-1074,EMMA Silva,engineering,Software Engineer,11 Nov 2025,2026-09-25,"$5,504",25,Female,0.87,medium,2,3,2,3
E-2475,Wei Osei,Sales,Sales Manager,2021-12-14,,"6,388.00",26,Female,4.78,3,3,3,high,2
E-2304,Umar Nakamura,Sal3s,Account Executive,2022-02-22,NULL,6749,49,Male,4.59,2,3,3,0,3
E-1084,  zoe LINDGREN ,Eng.,Software Engineer,09/05/2022,25/09/2026,6471,37,Female,4.38,3,3,3,2,3
E-1527,  john KIM ,Eng.,QA Analyst,2019-11-12,,6419,35,Male,6.87,3,3,0,3,3
E-1618,Sven Wei,Engineering ,Data Engineer,2026/05/13,N/A,7446,57,Male,0.37,3,3,3,2,3
E-1472,LI Haddad,Engineering ,QA Analyst,18/09/2018,,"6,707.00",37,Female,8.02,2,3,high,2,3
E-2474,Ivan Nair,sales ,Sales Manager,2020/01/13,N/A,6555,42,Male,6.7,3,3,2,3,3
E-1186,Fatima Silva,Eng.,Software Engineer,2024-06-18,N/A,6462,19,Female,2.27,3,2,3,3,3
E-1029,Paul Nakamura,Human Resources,HR Partner,30 Mar 2014,,5162,43,Female,12.49,medium,3,2,3,3
E-1684,  julia HADDAD ,Engineering ,Data Engineer,24/10/2023,,7784,20,Female,2.92,3,0,2,3,2
E-1498,  john ROSSI ,Engineering ,QA Analyst,2024-04-13,,7001,22,Female,2.45,2,2,3,2,3
E-2258,Hana Chen,Sales,Account Executive,11/06/2017,NULL,-1,53,Female,9.29,3,3,3,3,2
E-1041,Lucas Nair,human resources ,HR Partner,2022-04-03,,4893,31,Male,4.48,2,3,3,6,3
E-1798,Rosa Kowalski,engineering,Support Engineer,2022-03-30,NULL,7669,39,Female,4.49,2,3,3,high,2
E-2410,  oscar ROSSI ,sales ,Sales Development Rep,09/05/2022,N/A,"$6,432",35,Female,4.38,2,2,3,3,3
E-1770,Li Silva,Eng.,Support Engineer,2016-12-25,,7330,30,Male,9.75,3,2,2,3,3
E-1900,John Okafor,Eng.,Engineering Lead,2022-07-03,,"$6,273",56,Male,4.23,3,3,3,3,3
E-1280,Miguel Popescu,Engineering ,Software Engineer,28 Oct 2021,N/A,7722,46,Female,4.91,3,2,medium,n/a,high
E-1888,John O'Brien,Eng.,Engineering Lead,18 Feb 2022,,"6,902.00",34,Female,4.6,3,2,2,3,3
E-2251,Julia Andersson,Sal3s,Account Executive,2009/01/27,NULL,6631,19,Female,17.66,3,3,3,2,2
E-1694,YUSUF Garcia,Eng.,Data Engineer,12 Aug 2022,,"$8,321",36,Male,4.12,3,3,3,3,high
E-2076,VERA Rossi,Sales,Account Executive,2025/11/29,2026/09/25,5008,61,Male,0.82,n/a,2,3,3,3
E-2176,John Farah,sales ,Account Executive,2021-11-26,,"6,341.00",54,Male,4.83,3,3,2,3,3
E-2231,Kenji Kaur,Sal3s,Account Executive,7 Feb 2020,,5400,53,Female,6.63,2,3,3,n/a,2
E-1708,Tomas Nair,Eng.,Data Engineer,2020-08-04,N/A,"$7,399",57,Male,6.14,high,medium,2,3,3
E-1334,James Duarte,engineering,Software Engineer,2022/04/17,,6940,58,Male,4.44,n/a,2,3,2,0
E-2027,Li O'Brien,Sales,Account Executive,14 Sep 2022,25/09/2026,5947,40,Male,4.03,3,3,3,3,3
E-1005,Paul Kowalski,Human Resources,HR Partner,2024/04/02,25/09/2026,3979,45,Female,2.48,3,2,2,2,3
E-1742,Kenji Lindgren,Eng.,Support Engineer,15 Mar 2026,2026-09-25,"5,899.00",48,Female,0.53,3,n/a,2,3,medium
E-1541,  priya SILVA ,engineering,QA Analyst,29 Dec 2019,NULL,6716,22,Female,6.74,3,2,3,3,3
E-1599,  emma KAUR ,Eng.,Data Engineer,20 May 2026,2026-09-25,"$6,200",19,Female,0.35,3,3,2,3,3
E-2447,Talia Farah,Sal3s,Sales Development Rep,20/05/2018,NULL,"6,655.00",42,Female,8.35,3,2,3,2,3
E-1608,Zoe Okafor,Engineering ,Data Engineer,2022/08/27,N/A,7000,63,Male,4.08,2,2,3,3,3
E-2146,John Ivanov,sales ,Account Executive,25 Dec 2021,N/A,"$6,554",52,Female,4.75,2,3,3,2,3
E-2064,QUINN Okafor,Sales,Account Executive,2026-03-26,25/09/2026,6133,18,Female,0.5,3,3,3,2,3
E-1322,Anna Chen,engineering,Software Engineer,2022/04/14,,8070,42,Male,4.45,2,3,3,0,3
E-1869,MARIA Haddad,engineering,Support Engineer,2026/05/09,N/A,"6,543.00",22,Male,0.38,medium,2,2,high,3
E-1949,Nadia Duarte,Engineering ,Engineering Lead,28/12/2008,N/A,6886,36,Female,17.74,3,2,3,3,3
E-2105,Zoe Nakamura,sales ,Account Executive,02/05/2026,NULL,6999,33,Male,0.4,3,2,3,3,3
E-2477,Quinn Nakamura,Sales,Sales Manager,2017/08/12,N/A,6993,28,Male,9.12,3,high,3,3,5
E-1775,JOHN Kaur,Eng.,Support Engineer,2023/09/29,N/A,7541,37,Male,2.99,2,2,high,3,3
E-1232,ZOE Chen,Engineering ,Software Engineer,2020/05/01,,"$7,423",28,Male,6.4,3,2,high,3,3
E-1232,ZOE CHEN,Engineering ,Software Engineer,2020/05/01,,"$7,423",28,Male,6.4,3,2,high,3,3
E-2409,Umar Nakamura,Sales,Sales Development Rep,13 Oct 2021,N/A,"$7,484",37,Male,4.95,2,2,2,2,3
E-1950,Zoe Chen,Eng.,Engineering Lead,07/06/2024,,6542,62,Female,2.3,3,3,2,3,3
E-2431,Umar Ivanov,sales ,Sales Development Rep,2022/07/18,N/A,6941,40,Female,4.19,3,3,2,2,3
E-1388,HANA Silva,Engineering ,QA Analyst,17 Apr 2024,2026/09/25,-1,55,Female,2.44,3,2,n/a,2,2
E-2135,Sven O'Brien,Sal3s,Account Executive,2017/04/24,N/A,"$6,175",37,Male,9.42,3,3,high,high,3
E-2278,  lucas WEBER ,Sal3s,Account Executive,13/05/2022,N/A,5392,53,Female,4.37,2,3,3,2,3
E-1391,Petra Wei,Engineering ,QA Analyst,14 Jun 2024,2026/09/25,"5,981.00",36,Male,2.28,2,2,n/a,3,3
E-2330,David Kowalski,sales ,Account Executive,2024-02-18,,6580,39,Female,2.6,3,3,3,3,3
E-1372,Maria Garcia,engineering,QA Analyst,10 Jul 2026,2026-09-25,6083,55,Male,0.21,3,2,3,n/a,2
E-1665,Tomas Silva,Engineering ,Data Engineer,2019/12/15,,-1,31,Female,6.78,2,2,3,3,high
E-1140,SOFIA Diallo,Eng.,Software Engineer,2022-05-17,N/A,7554,36,Female,4.36,2,3,3,3,2
E-1886,OMAR Popescu,engineering,Engineering Lead,2024/04/24,NULL,7912,23,Female,2.42,3,3,3,0,3
E-1286,OSCAR Osei,Eng.,Software Engineer,5 Aug 2014,,6711,36,Female,12.14,2,2,0,3,3
E-2201,PRIYA Kim,Sales,Account Executive,07/11/2016,N/A,6654,58,Male,9.88,3,2,n/a,high,3
E-1126,Fatima Nair,Engineering ,Software Engineer,2018-06-11,,"$7,500",31,Female,8.29,3,high,3,3,3
E-1350,  grace GARCIA ,engineering,QA Analyst,20 Jan 2026,25/09/2026,5798,49,Male,0.68,2,3,2,3,3
E-1024,Talia Ivanov,HR,HR Partner,29 Nov 2017,,5372,40,Male,8.82,3,3,2,3,n/a
E-2473,  wei OSEI ,Sal3s,Sales Manager,31 Oct 2021,NULL,"$5,652",39,Male,4.9,3,n/a,3,0,3
E-1000,  yusuf FARAH ,human resources ,HR Partner,2022/04/10,25/09/2026,4299,31,Female,4.46,3,3,n/a,3,3
E-2438,  lucas O'BRIEN ,Sales,Sales Development Rep,30/03/2020,,5563,35,Female,6.49,3,n/a,2,2,3
E-1497,IGOR Weber,Eng.,QA Analyst,13 Jan 2012,NULL,6704,28,Male,14.7,2,2,3,2,2
E-1590,Umar Santos,engineering,Data Engineer,2020-08-19,2026/09/25,5894,29,Male,6.1,3,3,3,3,3
E-2006,Petra Farah,Eng.,Engineering Manager,2024-06-03,,7348,41,Male,2.31,3,2,3,3,2
E-1812,OMAR Kaur,Eng.,Support Engineer,2020-01-13,NULL,7593,38,Male,6.7,3,2,high,3,3
E-1552,Nadia Okafor,engineering,QA Analyst,2022/03/08,N/A,-1,64,Male,4.55,n/a,2,3,2,3
E-2277,Noah Andersson,Sales,Account Executive,2017-11-19,,"6,222.00",35,Female,8.85,3,2,3,3,n/a
E-1226,James Smith,engineering,Software Engineer,2022-04-21,N/A,7645,44,Male,4.43,2,3,3,3,n/a
E-1701,OMAR Popescu,Engineering ,Data Engineer,2021/11/19,N/A,6490,39,Male,4.85,3,3,3,2,3
E-1345,OKAFOR Okafor,engineering,QA Analyst,17 May 2014,25 Sep 2026,"$6,280",40,Male,12.36,medium,3,3,3,3
E-1455,Mei Nakamura,Eng.,QA Analyst,2026/03/19,NULL,6900,60,Female,0.52,3,high,2,3,n/a
E-1393,Miguel Popescu,Engineering ,QA Analyst,2026/07/29,2026-09-25,"$5,033",31,Male,0.16,3,3,0,3,2
E-1190,Julia Haddad,Eng.,Software Engineer,2025-11-08,NULL,"5,496.00",26,Male,0.88,2,3,3,2,medium
E-2266,Tomas O'Brien,sales ,Account Executive,22 Dec 2019,N/A,6243,21,Male,6.76,medium,3,3,3,3
E-2334,Oscar Ivanov,Sales,Account Executive,2022-08-23,,-1,28,Male,4.09,2,3,3,3,2
E-2096,  zoe KAUR ,Sal3s,Account Executive,2024/01/24,,"$6,701",29,Female,2.67,3,2,3,3,3
E-2468,Sven Silva,Sales,Sales Manager,2022-01-31,,6316,39,Male,4.65,2,2,3,3,medium
E-1739,MIGUEL Okafor,engineering,Data Engineer,2022-03-23,,"5,854.00",20,Male,4.51,3,3,3,3,3
E-1636,  hana NAIR ,Eng.,Data Engineer,2015/07/18,N/A,6711,32,Female,11.19,3,2,3,2,3
E-1953,LUCAS Smith,Eng.,Engineering Lead,2020-04-24,,"6,940.00",39,Male,6.42,2,2,3,3,3
E-2256,Julia Okafor,sales ,Account Executive,2024/09/06,,"5,902.00",45,Male,2.05,2,high,3,3,3
E-2424,  kenji LINDGREN ,Sal3s,Sales Development Rep,1 Aug 2013,N/A,5546,57,Female,13.15,2,2,3,2,2
E-1632,  carlos DUARTE ,engineering,Data Engineer,15 Feb 2024,,7218,54,Female,2.61,3,3,2,2,3
E-2079,Igor Wei,Sal3s,Account Executive,26/02/2024,2026-09-25,5720,41,Male,2.58,2,3,3,high,3
E-2362,Maria Popescu,Sales,Sales Development Rep,18/12/2025,2026/09/25,-1,37,Female,0.77,2,3,3,3,2
E-1765,Priya Andersson,Eng.,Support Engineer,9 May 2022,N/A,6494,37,Female,4.38,2,high,3,3,2
E-1808,  lucas NOVAK ,Eng.,Support Engineer,12 Aug 2017,,"7,185.00",44,Male,9.12,high,2,3,3,3
E-1878,ANNA Kaur,Eng.,Engineering Lead,2012-12-18,,7234,46,Female,13.77,3,0,3,2,3
E-1810,Wei Rossi,Engineering ,Support Engineer,26/03/2024,NULL,6376,47,Male,2.5,3,2,2,3,3
E-1477,Priya Lindgren,engineering,QA Analyst,2024/02/04,NULL,7242,32,Male,2.64,3,3,2,3,3
E-2122,Ivan Kim,Sal3s,Account Executive,21/10/2019,N/A,6129,56,Female,6.93,3,3,2,n/a,2
E-2380,TOMAS Smith,Sal3s,Sales Development Rep,2024/01/27,2026-09-25,5718,24,Male,2.66,high,3,2,high,3
E-1563,Quinn Kowalski,Engineering ,QA Analyst,29/11/2021,N/A,"$7,384",45,Male,4.82,0,3,2,2,3
E-1718,David O'Brien,Engineering ,Data Engineer,01/11/2019,N/A,6673,36,Female,6.9,3,3,2,2,3
E-2381,Mei Smith,Sales,Sales Development Rep,2025/11/19,25/09/2026,5156,39,Female,0.85,2,2,2,2,3
E-1834,  quinn SANTOS ,engineering,Support Engineer,2026-05-09,NULL,"7,006.00",42,Male,0.38,3,2,3,3,2
E-1576,IVAN Novak,engineering,QA Analyst,2022/06/11,NULL,"6,360.00",33,Male,4.29,high,high,2,2,2
E-1300,Kenji Haddad,engineering,Software Engineer,03/06/2024,NULL,"6,847.00",38,Male,2.31,3,3,3,3,2
E-1443,  quinn WEBER ,engineering,QA Analyst,2024/02/11,N/A,6786,30,Male,2.62,2,3,2,2,3
E-1825,Anna Silva,engineering,Support Engineer,2022-04-06,N/A,8207,39,Female,4.47,3,3,2,3,3
E-2047,YUSUF Kaur,sales ,Account Executive,2025-12-21,2026-09-25,5957,25,Female,0.76,3,3,high,3,3
E-1420,Grace Garcia,Engineering ,QA Analyst,2025-11-26,NULL,-1,59,Female,0.83,3,3,3,2,2
E-1076,Ivan Chen,engineering,Software Engineer,19/08/2026,2026/09/25,"6,091.00",28,Female,0.1,3,3,3,3,2
E-1943,KENJI Farah,Engineering ,Engineering Lead,2019-10-24,NULL,7758,42,Female,6.92,3,2,3,3,n/a
E-1758,  talia OSEI ,Engineering ,Support Engineer,14/04/2026,N/A,7568,42,Female,0.45,2,3,3,3,3
E-1209,OKAFOR Garcia,engineering,Software Engineer,08/03/2022,NULL,-1,57,Male,4.55,2,2,2,2,3
E-1467,UMAR Osei,Eng.,QA Analyst,11 Mar 2020,N/A,7733,33,Male,6.54,3,3,3,3,3
E-2316,Li Kaur,sales ,Account Executive,2022-06-29,,6193,64,Female,4.24,high,2,3,3,3
E-1945,IGOR Lindgren,Engineering ,Engineering Lead,31 Jan 2020,N/A,7132,35,Female,6.65,2,2,3,0,3
E-1961,Tomas Nair,Eng.,Engineering Manager,2014-07-10,,6394,35,Male,12.21,3,2,2,3,2
E-2088,  aisha POPESCU ,sales ,Account Executive,17 Sep 2012,,6463,24,Male,14.02,3,n/a,3,3,high
E-1956,Talia Duarte,Eng.,Engineering Manager,01/03/2022,2026-09-25,"$5,888",36,Male,4.57,3,2,3,3,3
E-2009,PETRA Kowalski,engineering,Engineering Manager,2025-10-02,,7150,36,Male,0.98,3,3,3,3,3
E-2407,  fatima GARCIA ,sales ,Sales Development Rep,2021/12/03,NULL,"6,140.00",26,Female,4.81,2,6,2,2,3
E-2445,VERA Popescu,Sales,Sales Development Rep,2022-05-06,,-1,32,Female,4.39,3,3,high,3,3
E-2234,Carlos Kowalski,Sales,Account Executive,2023-12-04,,5723,55,Female,2.81,3,2,3,3,3
E-1470,GRACE Santos,Engineering ,QA Analyst,2026-01-09,,"$7,231",62,Female,0.71,3,3,2,2,2
E-1897,Petra Kim,Eng.,Engineering Lead,11/02/2024,,7232,41,Male,2.62,3,3,2,3,3
E-1840,  grace SILVA ,engineering,Support Engineer,10/12/2025,N/A,6514,30,Male,0.79,3,2,6,3,3
E-1828,  carlos WEI ,Engineering ,Support Engineer,2024-02-11,NULL,6661,36,Female,2.62,3,3,3,3,3
E-2128,SOFIA Kowalski,Sal3s,Account Executive,2022/04/10,,6042,61,Male,4.46,3,high,3,3,2
E-1354,Anna Garcia,engineering,QA Analyst,4 Nov 2019,25/09/2026,6361,47,Female,6.89,medium,high,2,3,3
E-1614,Li Novak,engineering,Data Engineer,11/11/2021,N/A,6967,32,Female,4.87,2,2,3,3,3
E-1890,Maria Nair,Engineering ,Engineering Lead,2020/08/15,NULL,6795,44,Male,6.11,3,3,2,high,3
E-1921,Paul Farah,Eng.,Engineering Lead,2026-01-12,NULL,7703,61,Female,0.7,2,3,n/a,3,3
E-2363,Julia Farah,Sales,Sales Development Rep,2024-08-15,2026/09/25,"$6,034",20,Male,2.11,3,3,3,3,0
E-1130,  miguel KOWALSKI ,Eng.,Software Engineer,2022/06/26,N/A,"7,517.00",33,Male,4.25,3,2,3,2,n/a
E-1376,Sofia Okafor,Engineering ,QA Analyst,27/05/2024,25 Sep 2026,"5,943.00",34,Male,2.33,3,3,2,3,2
E-2253,WEI Duarte,Sales,Account Executive,2016/12/21,,6156,48,Male,9.76,3,3,2,3,3
E-1813,  emma NAIR ,Engineering ,Support Engineer,2020-01-31,NULL,"$6,176",27,Female,6.65,3,3,5,3,5
E-2143,Nadia Popescu,sales ,Account Executive,11/03/2024,,6702,50,Female,2.54,2,3,3,3,2
E-2048,Igor Nakamura,sales ,Account Executive,10/09/2024,25/09/2026,5698,63,Female,2.04,3,2,3,3,3
E-1734,Sofia Farah,Eng.,Data Engineer,2024/03/22,,"7,689.00",30,Female,2.51,3,3,2,3,3
E-2106,GRACE Farah,Sales,Account Executive,20 Jan 2024,NULL,-1,27,Female,2.68,2,3,2,3,2
E-1456,Anna Duarte,Engineering ,QA Analyst,21/10/2023,N/A,"6,867.00",41,Male,2.93,3,2,2,2,2
E-1021,Noah Garcia,HR,HR Partner,2015-06-22,NULL,5317,26,Female,11.26,3,2,3,3,medium
E-1709,  julia NAKAMURA ,Eng.,Data Engineer,12/03/2018,NULL,5966,49,Female,8.54,3,n/a,high,3,2
E-1008,Sven Andersson,HR,HR Partner,2008-02-11,2026-09-25,"4,470.00",28,Female,18.62,n/a,3,3,3,3
E-1626,Talia Weber,Engineering ,Data Engineer,29/07/2022,,6987,59,Male,4.16,3,3,3,3,3
E-2471,  grace DIALLO ,Sales,Sales Manager,25/09/2024,N/A,5795,34,Male,2.0,2,n/a,3,2,3
E-1713,KENJI Smith,Engineering ,Data Engineer,27/01/2022,NULL,"7,472.00",34,Female,4.66,3,3,5,3,3
E-2428,IGOR Smith,Sales,Sales Development Rep,29 Nov 2008,NULL,"$5,309",30,Male,17.82,3,3,n/a,3,n/a
E-1294,Julia Novak,Engineering ,Software Engineer,2016/12/07,N/A,6456,35,Female,9.8,2,3,2,3,3
E-2466,  carlos DUARTE ,sales ,Sales Manager,2005/04/06,,"$7,101",28,Female,21.47,3,2,high,3,3
E-1597,Sofia Nakamura,Eng.,Data Engineer,25 Feb 2026,25 Sep 2026,5826,26,Male,0.58,3,3,3,3,2
E-1529,Lucas Nair,Eng.,QA Analyst,7 Sep 2026,NULL,-1,61,Male,0.05,2,3,2,3,2
E-2100,LI Rossi,Sal3s,Account Executive,26 Nov 2025,NULL,"$6,419",32,Male,0.83,3,2,3,2,n/a
E-2199,Wei Novak,sales ,Account Executive,2017/12/03,N/A,6321,35,Female,8.81,3,2,3,3,3
E-1062,  wei SANTOS ,Engineering ,Software Engineer,2025/10/13,2026-09-25,"$6,115",47,Male,0.95,3,3,3,3,3
